total_net_assets,fund_year3_expense_projection,fund_year5_expense_projection,fund_year10_expense_projection,morningstar_return_rating,load_adj_return_3years,load_adj_return_5years,load_adj_return_10years,sustainability_score,sustainability_rank,esg_score
13266500608.0,156.0,273.0,615.0,4.0,0.1118,0.1133,0.0969,24.72,88.0,24.72
40262536.0,794.0,1457.0,3232.0,4.0,0.1531,0.1403,0.0492,24.98,27.0,24.98
13266500608.0,489.0,844.0,1643.0,3.0,0.1,0.1017,0.0853,24.72,88.0,24.72
13266500608.0,333.0,578.0,1282.0,3.0,0.1056,0.1071,0.0906,24.72,88.0,24.72
13266500608.0,175.0,306.0,688.0,4.0,0.1111,0.1127,0.0961,24.72,88.0,24.72
64842776.0,353.0,612.0,1351.0,3.0,0.0513,0.0801,0.0403,22.38,57.0,22.38
2659348224.0,464.0,814.0,1797.0,5.0,0.3081,0.2974,0.1874,23.09,89.0,23.09
2659348224.0,939.0,1217.0,2006.0,5.0,0.2858,0.2853,0.1834,23.09,89.0,23.09
479777088.0,364.0,648.0,1457.0,3.0,0.1252,0.1518,0.0843,21.31,30.0,21.31
2659348224.0,198.0,357.0,819.0,5.0,0.3193,0.3083,0.1966,23.09,89.0,23.09
2659348224.0,308.0,547.0,1232.0,5.0,0.3147,0.3039,0.1934,23.09,89.0,23.09
2659348224.0,245.0,439.0,998.0,5.0,0.3173,0.3066,0.1958,23.09,89.0,23.09
2911422464.0,527.0,908.0,1974.0,3.0,0.1285,0.133,0.1147,22.75,29.0,22.75
693799232.0,858.0,1066.0,1663.0,3.0,0.1128,0.0231,-0.0451,32.03,13.0,32.03
4949176832.0,794.0,975.0,1497.0,3.0,0.083,0.1122,0.1013,24.77,80.0,24.77
4949176832.0,493.0,850.0,1655.0,2.0,0.0957,0.1169,0.0996,24.77,80.0,24.77
4949176832.0,337.0,585.0,1294.0,2.0,0.1008,0.1221,0.1048,24.77,80.0,24.77
4949176832.0,179.0,313.0,701.0,3.0,0.1062,0.1277,0.1104,24.77,80.0,24.77
4949176832.0,154.0,269.0,604.0,3.0,0.1073,0.1286,0.1114,24.77,80.0,24.77
12177510400.0,231.0,401.0,895.0,3.0,0.1043,0.0989,0.1054,25.35,88.0,25.35
2441053696.0,324.0,565.0,1256.0,2.0,0.1079,0.1224,0.075,23.4,28.0,23.4
747082688.0,382.0,660.0,1454.0,4.0,0.1071,0.1461,0.1015,24.4,47.0,24.4
4093864704.0,262.0,455.0,1014.0,4.0,0.2441,0.2366,0.1735,21.11,47.0,21.11
8761323520.0,943.0,1212.0,1978.0,3.0,0.0753,0.0873,0.1065,24.68,55.0,24.68
2414385664.0,628.0,1079.0,2324.0,2.0,0.1012,0.0953,0.0978,24.52,75.0,24.52
1193029120.0,3.0,6.0,13.0,3.0,0.1624,0.1658,0.1357,21.66,31.0,21.66
839655936.0,6.0,11.0,26.0,4.0,0.1291,0.1508,0.0645,25.14,30.0,25.14
2813421568.0,3.0,6.0,13.0,3.0,0.1192,0.1141,0.1106,24.34,71.0,24.34
1671234688.0,3.0,6.0,13.0,4.0,0.1102,0.1117,0.1218,24.68,55.0,24.68
1498633600.0,3.0,6.0,13.0,3.0,0.1412,0.151,0.0842,19.6,6.0,19.6
1635543424.0,3.0,6.0,13.0,4.0,0.2516,0.2398,0.1675,20.18,16.0,20.18
1204968192.0,3.0,6.0,13.0,3.0,0.2495,0.2085,0.1407,22.1,10.0,22.1
1247730560.0,675.0,1165.0,2515.0,2.0,0.0526,0.0585,-0.0032,22.64,36.0,22.64
